Product Name,Current Date,Current Price,Old Date,Old Price,Category
Fairy Platinum Limon Bulaşık Makinesi Kapsülü 90'lı,10/06/2023,254,10/06/2022,139,bulasik-makinesi-tableti
Philips BG1024/15 Bodyshaver Vücut Tıraş Makinesi,10/06/2023,399,10/06/2022,329,tiras-makinesi
Fairy Platinum Plus 120'li Bulaşık Makinesi Kapsülü,10/06/2023,359,10/06/2022,246,bulasik-makinesi-tableti
MSI GTX 1660 Super Ventus Xs OC 192 Bit GDDR6 6 GB Ekran Kartı,10/06/2023,5369,10/06/2022,7499,ekran-karti
Corsair Vengeance 16 GB (2X8) 3200 MHz DDR4 CL16 CMK16GX4M2E3200C16 Ram,10/06/2023,1210,10/06/2022,1013,ram
Huawei Watch GT 3 42mm Elegant Edition Akıllı Saat,10/06/2023,3650,10/06/2022,3149,akilli-saat
Skechers Graceful Get Connected Kadın Spor Ayakkabı 12615,10/06/2023,893,10/06/2022,513,spor-ayakkabi
Asus TUF Gaming M3 RGB Kablolu Optik Oyuncu Mouse,10/06/2023,359,10/06/2022,209,mouse
MSI MAG FORGE M100A RGB Fan mATX Oyuncu Kasası,10/06/2023,1899,16/07/2022,1197,bilgisayar-kasasi
Penguen 1200A 2 lt Çift Katlı Çelik Termos,10/06/2023,239,10/06/2022,339,termos
"AOC C27G2ZE 27"" 0.5 ms Full HD FreeSync Curved Oyuncu Monitörü",10/06/2023,6499,10/06/2022,5484,monitor
Skechers Go Run Trail Altitude 220112 Marble Erkek Spor Ayakkabı,10/06/2023,1428,18/12/2022,1849,spor-ayakkabi
"Asus TUF Gaming VG259QM 24.5"" 1 ms Full HD G-Sync IPS Oyuncu Monitörü",10/06/2023,8149,22/06/2022,6152,monitor
Samsung Galaxy M23 128 GB,10/06/2023,6699,10/06/2022,4499,cep-telefonu
Kingston Fury Beast 16 GB 3200 MHz DDR4 CL16 KF432C16BB1/16 Ram,10/06/2023,891,10/06/2022,1238,ram
Asus TUF K3 AURA Red Switch Kablolu Mekanik Oyuncu Klavyesi,10/06/2023,1939,10/06/2022,999,klavye
Puma Smash V2 Buck Unisex Spor Ayakkabı,10/06/2023,538,10/06/2022,485,spor-ayakkabi
Logitech G305 Lightspeed 910-005283 Wireless Optik Oyuncu Mouse Siyah,10/06/2023,1179,10/06/2022,499,mouse
SteelSeries Rival 3 Wireless Optik Oyuncu Mouse,10/06/2023,797,10/06/2022,443,mouse
JBL Tune 510BT Pembe Kulak Üstü Bluetooth Kulaklık,10/06/2023,1099,10/06/2022,555,bluetooth-kulaklik
Xiaomi Mi Vacuum Cleaner 10.8 V Mini Şarjlı El Süpürgesi,10/06/2023,899,10/06/2022,754,sarjli-supurge
JBL T460BT Kulak Üstü Bluetooth Kulaklık,10/06/2023,999,10/06/2022,501,bluetooth-kulaklik
Logitech G Pro X Wireless Mikrofonlu Kulak Üstü Oyuncu Kulaklığı,10/06/2023,5839,10/06/2022,2849,kulaklik
Philips Multigroom 7000 Serisi MG7720/15 14'ü 1 Arada Erkek Bakım Seti,10/06/2023,1163,10/06/2022,919,erkek-bakim-seti
Vancat Super Premium Aktif Karbon Topaklanan İnce Taneli 10 lt 2'li Paket Kedi Kumu,10/06/2023,173,10/06/2022,122,kedi-kumu
iPhone 12 128 GB,10/06/2023,27999,10/06/2022,16699,cep-telefonu
"Samsung Odyssey G3 LS24AG300NUXUF 24"" 1 ms Full HD FreeSync Pivot Oyuncu Monitörü",10/06/2023,3199,10/06/2022,2399,monitor
"Macbook Air M1 16 GB 256 GB SSD 13.3"" Z1240009K Notebook",10/06/2023,27199,10/06/2022,20699,laptop-notebook
Soundpeats Air3 Deluxe TWS Kulak İçi Bluetooth Kulaklık,10/06/2023,799,21/11/2022,949,bluetooth-kulaklik
MSI RTX 3060 Ventus 3X 12G OC 192 Bit GDDR6 12 GB Ekran Kartı,10/06/2023,9658,10/06/2022,15399,ekran-karti
Siemens TP501R09 Tam Otomatik Kahve Makinesi,10/06/2023,8499,10/06/2022,8699,espresso-makinesi
Trendline Biftekli 15 kg Yetişkin Köpek Maması,10/06/2023,332,10/06/2022,238,kopek-mamasi
Canon EOS 250D + 18-55 mm Lens Dijital SLR Fotoğraf Makinesi,10/06/2023,16357,10/06/2022,9550,fotograf-makinesi
Logitech F710 Kablosuz PC Oyun Kolu,10/06/2023,789,10/06/2022,478,oyun-kolu
Arçelik TKM 3940 M Lokum Mavi Türk Kahve Makinesi,10/06/2023,1149,10/06/2022,629,turk-kahve-makinesi
Arçelik TKM 3940 P Lokum Pembe Türk Kahve Makinesi,10/06/2023,1799,10/06/2022,596,turk-kahve-makinesi
Arzum AR3014 Florido Beyaz 2000 W 2 lt Su Isıtıcısı,10/06/2023,388,10/06/2022,231,kettle
Arzum AR3067 Valore 2200 W 1.7 lt Su Isıtıcı,10/06/2023,389,10/06/2022,263,kettle
Tupperware 2 lt Eko Şişe Suluk,10/06/2023,285,10/06/2022,180,suluk-matara
Tupperware 500 ml Eko Şişe Suluk,10/06/2023,149,10/06/2022,74,suluk-matara
Regal BT 1001 Büro Tipi Buzdolabı,10/06/2023,2999,10/06/2022,1999,buzdolabi
Flavel FLV 1090 Büro Tipi Mini Buzdolabı,10/06/2023,2999,10/06/2022,1699,buzdolabi
Kumtel LX-7115 Tekli Elektrikli Set Üstü Ocak,10/06/2023,382,10/06/2022,239,ocak
Kumtel LX-7021 Gri Set Üstü Ocak,10/06/2023,584,10/06/2022,420,ocak
Monopoly Klasik C1009,10/06/2023,414,10/06/2022,265,kutu-oyunu
Monopoly Türkiye 01610,10/06/2023,394,10/06/2022,274,kutu-oyunu
Monopoly Al & Oyna B1002,10/06/2023,170,10/06/2022,109,kutu-oyunu
Sensodyne Hassasiyet & Diş Eti Güçlü Diş Etleri 75 ml Diş Macunu,10/06/2023,86,10/06/2022,46,dis-macunu
Signal White System Beyazlatıcı Sistem Diş Macunu 75 ml,10/06/2023,22,11/06/2022,22,dis-macunu
Sensodyne Hızlı Rahatlama Beyazlatıcı 75 ml Diş Macunu,10/06/2023,92,10/06/2022,38,dis-macunu
La Roche-Posay Anthelios UVmune 400 Fluid 50 Faktör Renksiz Güneş Kremi 50 ml,10/06/2023,226,10/06/2022,149,gunes-kremi
Sebamed Çok Yönlü Koruyucu 50 Faktör Güneş Kremi 75 ml,10/06/2023,226,10/06/2022,128,gunes-kremi
Vaseline Blueseal Original Vazelin 100 ml,10/06/2023,44,11/06/2022,26,vazelin
Gillette Venus Comfortglide Breeze 4'lü Yedek Başlık,10/06/2023,237,10/06/2022,139,tiras-bicagi
Solo Akıllı Seçim 32'li Tuvalet Kağıdı,10/06/2023,124,10/06/2022,105,tuvalet-kagidi
Nuh'un Ankara 500 gr Yüksük Makarna,10/06/2023,12,11/06/2022,8,makarna
Pınar 1 lt Süt,10/06/2023,25,11/06/2022,19,sut
İçim Rahat Laktozsuz 1 lt Süt,10/06/2023,23,11/06/2022,18,sut
AirPods Max,10/06/2023,16007,10/06/2022,6723,bluetooth-kulaklik
AirPods Max Uzay Grisi MGYH3TU/A,10/06/2023,16499,10/06/2022,7959,bluetooth-kulaklik
AirPods Max Pembe MGYM3TU/A,10/06/2023,16007,10/06/2022,6723,bluetooth-kulaklik
AirPods Max Gümüş MGYJ3TU/A,10/06/2023,16007,10/06/2022,7069,bluetooth-kulaklik
AirPods Max Gök Mavisi MGYL3TU/A,10/06/2023,18299,10/06/2022,7869,bluetooth-kulaklik
Perilla Avrora Kanatlı Çamaşır Askısı,10/06/2023,395,10/06/2022,275,camasir-askisi
Awox Rapid Tost 750 W Mini Tost Makinesi,10/06/2023,134,10/06/2022,118,tost-makinesi
King KMT645 Otto Mini 750 W Tost Makinesi,10/06/2023,279,10/06/2022,227,tost-makinesi
Philips Airfryer XXL HD9650/90 Avance Collection 7.3 lt Yağsız Fritöz,10/06/2023,5811,10/06/2022,3699,fritoz
Xiaomi Mi Smart Air Fryer 3.5 lt Yağsız Fritöz,10/06/2023,2279,10/06/2022,1706,fritoz
Nutella 750 gr Kakaolu Fındık Kreması,10/06/2023,95,11/06/2022,44,ezme-krem-cikolata
Sarelle Kakaolu Fındık Ezmesi 700 gr,10/06/2023,87,10/06/2022,47,ezme-krem-cikolata
Nesquik Çikolatalı Kahvaltılık Mısır Gevreği 700 gr,10/06/2023,64,11/06/2022,31,kahvaltilik-gevrek
