Product Name,Current Date,Current Price,Old Date,Old Price,Category
Sinbo SSM-2513 800 W 2 Adet Pişirme Kapasiteli Teflon Çıkarılabilir Plakalı Izgara ve Tost Makinesi,09/06/2023,255,10/06/2022,189,tost-makineleri
Arçelik TM 6046 C Resital 2400 W Tost Makinesi Beyaz,09/06/2023,2398,10/06/2022,1449,tost-makineleri
Arzum AR2037 1800 W 4 Adet Pişirme Kapasiteli Teflon Çıkarılabilir Plakalı Izgara ve Tost Makinesi,09/06/2023,799,18/06/2022,558,tost-makineleri
Faber-Castell Hamur Plastik Kutulu Renkli Öğrenci Silgisi,09/06/2023,17,10/06/2022,7,silgi
Faber Castell 187170 Sınav Silgisi,09/06/2023,7,04/07/2022,6,silgi
Rotring Tikky 20 Silgi,09/06/2023,9,10/06/2022,5,silgi
Kumtel EX-23 2300 W Dikey Infrared Ecoray Infrared Isıtıcı,09/06/2023,448,10/06/2022,198,isiticilar
Kumtel LX-6331 2000 W 2 Kademeli Quartz Isıtıcı Krem,09/06/2023,259,11/06/2022,161,isiticilar
Ufo Star S/19 1900 W Infrared Isıtıcı,09/06/2023,1384,13/06/2022,555,isiticilar
Sensodyne Sensitive Soft Diş Fırçası,09/06/2023,38,09/06/2022,19,dis-fircalari
Tepe Select Diş Fırcası,09/06/2023,40,10/06/2022,39,dis-fircalari
Oral-B Expert DB04 Pilli Diş Fırçası,09/06/2023,269,14/06/2022,169,dis-fircalari
Casio MX-12B Hesap Makinesi,09/06/2023,101,10/06/2022,76,hesap-makinesi
Tupperware 1 lt Beyaz Eko Şişe Suluk,09/06/2023,235,19/06/2022,169,suluk
Maped Picnik Mavi 580 ml Suluk,09/06/2023,257,15/07/2022,203,suluk
Nike NOBE2 032 Hypercharge 900 ml Suluk,09/06/2023,295,13/06/2022,233,suluk
IKEA Tertial Beyaz 17 cm Çalışma Lambası,09/06/2023,529,12/06/2022,363,masa-lambasi
Nisa Luce Modern Krom Spiralli Beyaz Masa Lambası,09/06/2023,249,24/06/2022,199,masa-lambasi
Avec AV-811 Siyah Masa Lambası,09/06/2023,296,10/06/2022,222,masa-lambasi
A4-Tech FG10 Beyaz Optik Kablosuz Mouse,09/06/2023,153,10/06/2022,129,klavye-mouse
Logitech M185 Kırmızı Kablosuz Mouse,09/06/2023,249,10/06/2022,119,klavye-mouse
Everest KB-871U Siyah Klavye,09/06/2023,84,20/06/2022,67,klavye-mouse
Microsoft Xbox Series S 512 GB Oyun Konsolu Beyaz,09/06/2023,9799,14/06/2022,6719,oyun-konsollari
Sony Playstation 5 + 2.Kol Oyun Konsolu,09/06/2023,19299,10/06/2022,16366,oyun-konsollari
